electrode,x,y,z,w,h,d,default,all,bank0,double_length
275.0,2.0,2940.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
276.0,-14.0,2960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
277.0,18.0,2960.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
278.0,-30.0,2980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
279.0,2.0,2980.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
280.0,-14.0,3000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
281.0,18.0,3000.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
282.0,-30.0,3020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
283.0,2.0,3020.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
284.0,-14.0,3040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
285.0,18.0,3040.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
286.0,-30.0,3060.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
287.0,2.0,3060.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
288.0,-14.0,3080.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
289.0,18.0,3080.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
290.0,-30.0,3100.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
291.0,2.0,3100.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
292.0,-14.0,3120.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
293.0,18.0,3120.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
294.0,-30.0,3140.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
295.0,2.0,3140.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
296.0,-14.0,3160.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
297.0,18.0,3160.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
298.0,-30.0,3180.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
299.0,2.0,3180.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
300.0,-14.0,3200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
301.0,18.0,3200.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
302.0,-30.0,3220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
303.0,2.0,3220.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,1.0
304.0,-14.0,3240.0,0.0,12.0,12.0,24.0,1.0,1.0,1.0,0.0
